"Ymd","Spots"
1818-01-31,75.8387096774194
1818-02-28,59.7142857142857
1818-03-31,64.0967741935484
1818-04-30,64.8666666666667
1818-05-31,87.2258064516129
1818-06-30,64.3333333333333
1818-07-31,58.1290322580645
1818-08-31,63
1818-09-30,58.8333333333333
1818-10-31,61.258064516129
1818-11-30,56.5333333333333
1818-12-31,65.6451612903226
1819-01-31,71.4193548387097
1819-02-28,65.0714285714286
1819-03-31,25.8064516129032
1819-04-30,45
1819-05-31,32.6129032258064
1819-06-30,63.8
1819-07-31,67.7096774193548
1819-08-31,52.1612903225806
1819-09-30,30.5333333333333
1819-10-31,56.3870967741936
1819-11-30,56.5333333333333
1819-12-31,61.9354838709677
1820-01-31,51.3548387096774
1820-02-29,63.8275862068966
1820-03-31,26.7096774193548
1820-04-30,50.5
1820-05-31,60.6451612903226
1820-06-30,28.6
1820-07-31,71.1935483870968
1820-08-31,60.6774193548387
1820-09-30,20.8666666666667
1820-10-31,25.7096774193548
1820-11-30,52.2
1820-12-31,47.4516129032258
1821-01-31,70.1290322580645
1821-02-28,17.7142857142857
1821-03-31,14.1935483870968
1821-04-30,41.9333333333333
1821-05-31,2.80645161290323
1821-06-30,5.6
1821-07-31,21.8064516129032
1821-08-31,19.9677419354839
1821-09-30,9.76666666666667
1821-10-31,36.2903225806452
1821-11-30,14.8
1821-12-31,0.419354838709677
1822-01-31,0
1822-02-28,1.5
1822-03-31,32.1935483870968
1822-04-30,29.7
1822-05-31,5
1822-06-30,11.7333333333333
1822-07-31,17.6774193548387
1822-08-31,3.41935483870968
1822-09-30,0
1822-10-31,0.580645161290323
1822-11-30,0
1822-12-31,2.64516129032258
1823-01-31,0
1823-02-28,0
1823-03-31,6.19354838709677
1823-04-30,0
1823-05-31,15.8709677419355
1823-06-30,19.1333333333333
1823-07-31,19.0967741935484
1823-08-31,10.5806451612903
1823-09-30,8.2
1823-10-31,29.0967741935484
1823-11-30,27.3333333333333
1823-12-31,54.1290322580645
1824-01-31,77.5483870967742
1824-02-29,82
1824-03-31,26.4516129032258
1824-04-30,68.7333333333333
1824-05-31,34.5806451612903
1824-06-30,13.6666666666667
1824-07-31,26.4516129032258
1824-08-31,43.4516129032258
1824-09-30,51.7666666666667
1824-10-31,49.741935483871
1824-11-30,32.8
1824-12-31,30
1825-01-31,13.1612903225806
1825-02-28,33.8928571428571
1825-03-31,43.1612903225806
1825-04-30,18.8666666666667
1825-05-31,36.6451612903226
1825-06-30,29.4
1825-07-31,52.4838709677419
1825-08-31,44.0322580645161
1825-09-30,33.6
1825-10-31,36.8387096774194
1825-11-30,44.5333333333333
1825-12-31,48.4193548387097
1826-01-31,46.3870967741936
1826-02-28,35.7857142857143
1826-03-31,63.3225806451613
1826-04-30,44.1666666666667
1826-05-31,54.8064516129032
1826-06-30,62.3333333333333
1826-07-31,87.3225806451613
1826-08-31,66.0322580645161
1826-09-30,31.5666666666667
1826-10-31,84.1935483870968
1826-11-30,70.1333333333333
1826-12-31,101.387096774194
1827-01-31,63.9677419354839
1827-02-28,79.3214285714286
1827-03-31,94.8709677419355
1827-04-30,77.2
1827-05-31,93.3870967741936
1827-06-30,92.7666666666667
1827-07-31,70.3870967741936
1827-08-31,88.9677419354839
1827-09-30,82.6333333333333
1827-10-31,92
1827-11-30,80.9
1827-12-31,77.8387096774194
1828-01-31,85.4838709677419
1828-02-29,101.172413793103
1828-03-31,102.483870967742
1828-04-30,101.2
1828-05-31,140
1828-06-30,152.533333333333
1828-07-31,90.3548387096774
1828-08-31,127.322580645161
1828-09-30,83.9333333333333
1828-10-31,89.6451612903226
1828-11-30,91.5
1828-12-31,80.1290322580645
1829-01-31,77.2903225806452
1829-02-28,82.2142857142857
1829-03-31,114.387096774194
1829-04-30,155.866666666667
1829-05-31,110.387096774194
1829-06-30,120.433333333333
1829-07-31,144.806451612903
1829-08-31,123.193548387097
1829-09-30,87.2333333333333
1829-10-31,91.9032258064516
1829-11-30,101.466666666667
1829-12-31,90.5806451612903
1830-01-31,84.741935483871
1830-02-28,106.464285714286
1830-03-31,120.032258064516
1830-04-30,164.6
1830-05-31,107.741935483871
1830-06-30,105.8
1830-07-31,74.5806451612903
1830-08-31,84.0967741935484
1830-09-30,99.1333333333333
1830-10-31,129.258064516129
1830-11-30,115.833333333333
1830-12-31,105
1831-01-31,79.9032258064516
1831-02-28,83.1785714285714
1831-03-31,141.483870967742
1831-04-30,89.9666666666667
1831-05-31,63.3870967741936
1831-06-30,58.2
1831-07-31,75.8387096774194
1831-08-31,90.6774193548387
1831-09-30,68.2333333333333
1831-10-31,78.3548387096774
1831-11-30,77.2666666666667
1831-12-31,65.6774193548387
1832-01-31,71.1612903225806
1832-02-29,90.4137931034483
1832-03-31,88.6774193548387
1832-04-30,48.5333333333333
1832-05-31,70.1290322580645
1832-06-30,54.5333333333333
1832-07-31,34.6451612903226
1832-08-31,14.7741935483871
1832-09-30,15.9333333333333
1832-10-31,44.258064516129
1832-11-30,47.1
1832-12-31,62.1612903225806
1833-01-31,37.0967741935484
1833-02-28,39.1785714285714
1833-03-31,43.741935483871
1833-04-30,12.3666666666667
1833-05-31,27.3225806451613
1833-06-30,1.66666666666667
1833-07-31,20.6774193548387
1833-08-31,11.8387096774194
1833-09-30,48.5666666666667
1833-10-31,16.9677419354839
1833-11-30,24.2
1833-12-31,41.9032258064516
1834-01-31,55.8064516129032
1834-02-28,44.9285714285714
1834-03-31,23.5483870967742
1834-04-30,15.6666666666667
1834-05-31,16.9354838709677
1834-06-30,17.6666666666667
