"","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
"1",66.9257725520259,46.0114082431946,87.8401368608572,34.9400125506795,98.9115325533723
"2",66.9257725520259,44.8081923247598,89.0433527792921,33.0998525999128,100.751692504139
"3",66.9257725520259,43.66713811712,90.1844069869318,31.354760781909,102.496784322143
"4",66.9257725520259,42.5795039171072,91.2720411869446,29.6913678153737,104.160177288678
"5",66.9257725520259,41.538423003271,92.3131221007808,28.0991719560961,105.752373147956
"6",66.9257725520259,40.5383846976417,93.3131604064101,26.5697453494024,107.281799754649
"7",66.9257725520259,39.574886671588,94.2766584324638,25.0962022778536,108.755342826198
"8",66.9257725520259,38.6441941110729,95.2073509929789,23.6728308362888,110.178714267763
"9",66.9257725520259,37.7431681483951,96.1083769556567,22.294830540816,111.556714563236
"10",66.9257725520259,36.8691406641072,96.9824044399446,20.9581208548703,112.893424249182
"11",66.9257725520259,36.0198210036123,97.8317241004395,19.6591985245586,114.192346579493
"12",66.9257725520259,35.1932251947789,98.6583199092729,18.3950293263439,115.456515777708
