"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"2009",50.3912450958052,17.8394399821898,82.9430502094207,0.607555254701751,100.174934936909
"2010",80.8059040605593,28.8179829152622,132.793825205856,1.29723986366434,160.314568257454
"2011",105.503550185684,41.6112065286806,169.395893842688,7.78864286366193,203.218457507706
"2012",118.274357511302,50.4429044738905,186.105810548714,14.5351022626454,222.013612759959
"2013",117.644521615391,49.6572581540268,185.631785076756,13.666974886646,221.622068344137
"2014",106.419329765707,37.4767971404536,175.36186239096,0.980824924076018,211.857834607337
"2015",90.0055904720228,17.9557770481634,162.055403895882,-20.1850902623767,200.196271206422
"2016",74.2977629645073,-1.1387076403154,149.73423356933,-41.0723629683,189.667888897315
"2017",63.8292723459409,-13.4647283712728,141.123273063155,-54.3817007430539,182.040245434936
"2018",60.6902369850842,-16.9575671763136,138.338041146482,-58.0618317779752,179.442305748144
"2019",64.382957743703,-13.3017475912526,142.067663078659,-54.4255464942176,183.191461981624
"2020",72.4752525408108,-5.79633509513918,150.746840176761,-47.230810721685,192.181315803307
